,SPY_Volume
2023-02-01 04:00:00-05:00,0
2023-02-01 04:01:00-05:00,0
2023-02-01 04:02:00-05:00,0
2023-02-01 04:03:00-05:00,0
2023-02-01 04:04:00-05:00,0
2023-02-01 04:05:00-05:00,0
2023-02-01 04:06:00-05:00,0
2023-02-01 04:07:00-05:00,0
2023-02-01 04:08:00-05:00,0
2023-02-01 04:09:00-05:00,0
2023-02-01 04:10:00-05:00,0
2023-02-01 04:11:00-05:00,0
2023-02-01 04:12:00-05:00,0
2023-02-01 04:13:00-05:00,0
2023-02-01 04:14:00-05:00,0
2023-02-01 04:15:00-05:00,0
2023-02-01 04:16:00-05:00,0
2023-02-01 04:17:00-05:00,0
2023-02-01 04:18:00-05:00,0
2023-02-01 04:19:00-05:00,0
2023-02-01 04:20:00-05:00,0
2023-02-01 04:21:00-05:00,0
2023-02-01 04:22:00-05:00,0
2023-02-01 04:23:00-05:00,0
2023-02-01 04:24:00-05:00,0
2023-02-01 04:25:00-05:00,0
2023-02-01 04:26:00-05:00,0
2023-02-01 04:27:00-05:00,0
2023-02-01 04:28:00-05:00,0
2023-02-01 04:30:00-05:00,0
2023-02-01 04:31:00-05:00,0
2023-02-01 04:32:00-05:00,0
2023-02-01 04:33:00-05:00,0
2023-02-01 04:34:00-05:00,0
2023-02-01 04:35:00-05:00,0
2023-02-01 04:36:00-05:00,0
2023-02-01 04:37:00-05:00,0
2023-02-01 04:38:00-05:00,0
2023-02-01 04:39:00-05:00,0
2023-02-01 04:40:00-05:00,0
2023-02-01 04:41:00-05:00,0
2023-02-01 04:43:00-05:00,0
2023-02-01 04:44:00-05:00,0
2023-02-01 04:45:00-05:00,0
2023-02-01 04:46:00-05:00,0
2023-02-01 04:47:00-05:00,0
2023-02-01 04:48:00-05:00,0
2023-02-01 04:49:00-05:00,0
2023-02-01 04:50:00-05:00,0
2023-02-01 04:51:00-05:00,0
2023-02-01 04:52:00-05:00,0
2023-02-01 04:53:00-05:00,0
2023-02-01 04:54:00-05:00,0
2023-02-01 04:55:00-05:00,0
2023-02-01 04:56:00-05:00,0
2023-02-01 04:57:00-05:00,0
2023-02-01 04:58:00-05:00,0
2023-02-01 04:59:00-05:00,0
2023-02-01 05:00:00-05:00,0
2023-02-01 05:01:00-05:00,0
2023-02-01 05:02:00-05:00,0
2023-02-01 05:03:00-05:00,0
2023-02-01 05:05:00-05:00,0
2023-02-01 05:06:00-05:00,0
2023-02-01 05:07:00-05:00,0
2023-02-01 05:08:00-05:00,0
2023-02-01 05:09:00-05:00,0
2023-02-01 05:10:00-05:00,0
2023-02-01 05:11:00-05:00,0
2023-02-01 05:12:00-05:00,0
2023-02-01 05:13:00-05:00,0
2023-02-01 05:14:00-05:00,0
2023-02-01 05:15:00-05:00,0
2023-02-01 05:16:00-05:00,0
2023-02-01 05:17:00-05:00,0
2023-02-01 05:18:00-05:00,0
2023-02-01 05:19:00-05:00,0
2023-02-01 05:20:00-05:00,0
2023-02-01 05:21:00-05:00,0
2023-02-01 05:22:00-05:00,0
2023-02-01 05:23:00-05:00,0
2023-02-01 05:24:00-05:00,0
2023-02-01 05:25:00-05:00,0
2023-02-01 05:26:00-05:00,0
2023-02-01 05:27:00-05:00,0
2023-02-01 05:28:00-05:00,0
2023-02-01 05:29:00-05:00,0
2023-02-01 05:30:00-05:00,0
2023-02-01 05:31:00-05:00,0
2023-02-01 05:32:00-05:00,0
2023-02-01 05:33:00-05:00,0
2023-02-01 05:34:00-05:00,0
2023-02-01 05:35:00-05:00,0
2023-02-01 05:37:00-05:00,0
2023-02-01 05:38:00-05:00,0
2023-02-01 05:39:00-05:00,0
2023-02-01 05:40:00-05:00,0
2023-02-01 05:41:00-05:00,0
2023-02-01 05:42:00-05:00,0
2023-02-01 05:43:00-05:00,0
2023-02-01 05:44:00-05:00,0
2023-02-01 05:45:00-05:00,0
2023-02-01 05:46:00-05:00,0
2023-02-01 05:47:00-05:00,0
2023-02-01 05:48:00-05:00,0
2023-02-01 05:49:00-05:00,0
2023-02-01 05:50:00-05:00,0
2023-02-01 05:51:00-05:00,0
2023-02-01 05:52:00-05:00,0
2023-02-01 05:53:00-05:00,0
2023-02-01 05:54:00-05:00,0
2023-02-01 05:55:00-05:00,0
2023-02-01 05:56:00-05:00,0
2023-02-01 05:57:00-05:00,0
2023-02-01 05:58:00-05:00,0
2023-02-01 05:59:00-05:00,0
2023-02-01 06:00:00-05:00,0
2023-02-01 06:02:00-05:00,0
2023-02-01 06:03:00-05:00,0
2023-02-01 06:04:00-05:00,0
2023-02-01 06:05:00-05:00,0
2023-02-01 06:06:00-05:00,0
2023-02-01 06:07:00-05:00,0
2023-02-01 06:08:00-05:00,0
2023-02-01 06:09:00-05:00,0
2023-02-01 06:10:00-05:00,0
2023-02-01 06:11:00-05:00,0
2023-02-01 06:12:00-05:00,0
2023-02-01 06:13:00-05:00,0
2023-02-01 06:14:00-05:00,0
2023-02-01 06:15:00-05:00,0
2023-02-01 06:16:00-05:00,0
2023-02-01 06:17:00-05:00,0
2023-02-01 06:18:00-05:00,0
2023-02-01 06:19:00-05:00,0
2023-02-01 06:20:00-05:00,0
2023-02-01 06:21:00-05:00,0
2023-02-01 06:22:00-05:00,0
2023-02-01 06:23:00-05:00,0
2023-02-01 06:24:00-05:00,0
2023-02-01 06:25:00-05:00,0
2023-02-01 06:26:00-05:00,0
2023-02-01 06:27:00-05:00,0
2023-02-01 06:28:00-05:00,0
2023-02-01 06:29:00-05:00,0
2023-02-01 06:30:00-05:00,0
2023-02-01 06:31:00-05:00,0
2023-02-01 06:32:00-05:00,0
2023-02-01 06:33:00-05:00,0
2023-02-01 06:34:00-05:00,0
2023-02-01 06:35:00-05:00,0
2023-02-01 06:36:00-05:00,0
2023-02-01 06:37:00-05:00,0
2023-02-01 06:38:00-05:00,0
2023-02-01 06:39:00-05:00,0
2023-02-01 06:40:00-05:00,0
2023-02-01 06:41:00-05:00,0
2023-02-01 06:42:00-05:00,0
2023-02-01 06:43:00-05:00,0
2023-02-01 06:44:00-05:00,0
2023-02-01 06:45:00-05:00,0
2023-02-01 06:46:00-05:00,0
2023-02-01 06:47:00-05:00,0
2023-02-01 06:48:00-05:00,0
2023-02-01 06:49:00-05:00,0
2023-02-01 06:50:00-05:00,0
2023-02-01 06:51:00-05:00,0
2023-02-01 06:53:00-05:00,0
2023-02-01 06:54:00-05:00,0
2023-02-01 06:55:00-05:00,0
2023-02-01 06:56:00-05:00,0
2023-02-01 06:57:00-05:00,0
2023-02-01 06:58:00-05:00,0
2023-02-01 06:59:00-05:00,0
2023-02-01 07:00:00-05:00,0
2023-02-01 07:01:00-05:00,0
2023-02-01 07:02:00-05:00,0
2023-02-01 07:03:00-05:00,0
2023-02-01 07:04:00-05:00,0
2023-02-01 07:05:00-05:00,0
2023-02-01 07:06:00-05:00,0
2023-02-01 07:07:00-05:00,0
2023-02-01 07:08:00-05:00,0
2023-02-01 07:09:00-05:00,0
2023-02-01 07:10:00-05:00,0
2023-02-01 07:11:00-05:00,0
2023-02-01 07:12:00-05:00,0
2023-02-01 07:13:00-05:00,0
2023-02-01 07:14:00-05:00,0
2023-02-01 07:15:00-05:00,0
2023-02-01 07:16:00-05:00,0
2023-02-01 07:17:00-05:00,0
2023-02-01 07:18:00-05:00,0
2023-02-01 07:19:00-05:00,0
2023-02-01 07:20:00-05:00,0
2023-02-01 07:21:00-05:00,0
2023-02-01 07:22:00-05:00,0
2023-02-01 07:23:00-05:00,0
2023-02-01 07:24:00-05:00,0
2023-02-01 07:25:00-05:00,0
2023-02-01 07:26:00-05:00,0
2023-02-01 07:27:00-05:00,0
2023-02-01 07:28:00-05:00,0
2023-02-01 07:29:00-05:00,0
2023-02-01 07:30:00-05:00,0
2023-02-01 07:31:00-05:00,0
2023-02-01 07:32:00-05:00,0
2023-02-01 07:33:00-05:00,0
2023-02-01 07:34:00-05:00,0
2023-02-01 07:35:00-05:00,0
2023-02-01 07:36:00-05:00,0
2023-02-01 07:37:00-05:00,0
2023-02-01 07:38:00-05:00,0
2023-02-01 07:39:00-05:00,0
2023-02-01 07:40:00-05:00,0
2023-02-01 07:41:00-05:00,0
2023-02-01 07:42:00-05:00,0
2023-02-01 07:43:00-05:00,0
2023-02-01 07:44:00-05:00,0
2023-02-01 07:45:00-05:00,0
2023-02-01 07:46:00-05:00,0
2023-02-01 07:47:00-05:00,0
2023-02-01 07:48:00-05:00,0
2023-02-01 07:49:00-05:00,0
2023-02-01 07:50:00-05:00,0
2023-02-01 07:51:00-05:00,0
2023-02-01 07:52:00-05:00,0
2023-02-01 07:53:00-05:00,0
2023-02-01 07:54:00-05:00,0
2023-02-01 07:55:00-05:00,0
2023-02-01 07:56:00-05:00,0
2023-02-01 07:57:00-05:00,0
2023-02-01 07:58:00-05:00,0
2023-02-01 07:59:00-05:00,0
2023-02-01 08:00:00-05:00,0
2023-02-01 08:01:00-05:00,0
2023-02-01 08:02:00-05:00,0
2023-02-01 08:03:00-05:00,0
2023-02-01 08:04:00-05:00,0
2023-02-01 08:05:00-05:00,0
2023-02-01 08:06:00-05:00,0
2023-02-01 08:07:00-05:00,0
2023-02-01 08:08:00-05:00,0
2023-02-01 08:09:00-05:00,0
2023-02-01 08:10:00-05:00,0
2023-02-01 08:11:00-05:00,0
2023-02-01 08:12:00-05:00,0
2023-02-01 08:13:00-05:00,0
2023-02-01 08:14:00-05:00,0
2023-02-01 08:15:00-05:00,0
2023-02-01 08:16:00-05:00,0
2023-02-01 08:17:00-05:00,0
2023-02-01 08:18:00-05:00,0
2023-02-01 08:19:00-05:00,0
