,SPY_Low
2023-01-03 06:32:00-05:00,385.58
2023-01-03 06:33:00-05:00,385.53
2023-01-03 06:34:00-05:00,385.55
2023-01-03 06:35:00-05:00,385.6
2023-01-03 06:36:00-05:00,385.51
2023-01-03 06:37:00-05:00,385.51
2023-01-03 06:38:00-05:00,385.46
2023-01-03 06:39:00-05:00,385.53
2023-01-03 06:40:00-05:00,385.54
2023-01-03 06:41:00-05:00,385.52
2023-01-03 06:42:00-05:00,385.21
2023-01-03 06:43:00-05:00,384.67
2023-01-03 06:44:00-05:00,383.86
2023-01-03 06:45:00-05:00,383.52
2023-01-03 06:46:00-05:00,383.83
2023-01-03 06:47:00-05:00,383.87
2023-01-03 06:48:00-05:00,383.83
2023-01-03 06:49:00-05:00,383.81
2023-01-03 06:50:00-05:00,383.85
2023-01-03 06:51:00-05:00,383.91
2023-01-03 06:52:00-05:00,383.98
2023-01-03 06:53:00-05:00,383.75
2023-01-03 06:54:00-05:00,383.88
2023-01-03 06:55:00-05:00,383.93
2023-01-03 06:56:00-05:00,384.02
2023-01-03 06:57:00-05:00,383.92
2023-01-03 06:58:00-05:00,383.92
2023-01-03 06:59:00-05:00,383.94
2023-01-03 07:00:00-05:00,383.84
2023-01-03 07:01:00-05:00,383.4
2023-01-03 07:02:00-05:00,383.34
2023-01-03 07:03:00-05:00,383.41
2023-01-03 07:04:00-05:00,383.48
2023-01-03 07:05:00-05:00,383.55
2023-01-03 07:06:00-05:00,383.6
2023-01-03 07:07:00-05:00,383.59
2023-01-03 07:08:00-05:00,383.51
2023-01-03 07:09:00-05:00,383.51
2023-01-03 07:10:00-05:00,383.43
2023-01-03 07:11:00-05:00,383.39
2023-01-03 07:12:00-05:00,383.37
2023-01-03 07:13:00-05:00,383.31
2023-01-03 07:14:00-05:00,383.5
2023-01-03 07:15:00-05:00,383.53
2023-01-03 07:16:00-05:00,383.63
2023-01-03 07:17:00-05:00,383.7
2023-01-03 07:18:00-05:00,383.76
2023-01-03 07:19:00-05:00,383.79
2023-01-03 07:20:00-05:00,383.85
2023-01-03 07:21:00-05:00,383.84
2023-01-03 07:22:00-05:00,383.92
2023-01-03 07:23:00-05:00,384.02
2023-01-03 07:24:00-05:00,384.03
2023-01-03 07:25:00-05:00,384.02
2023-01-03 07:26:00-05:00,383.98
2023-01-03 07:27:00-05:00,383.95
2023-01-03 07:28:00-05:00,383.86
2023-01-03 07:29:00-05:00,383.82
2023-01-03 07:30:00-05:00,383.8
2023-01-03 07:31:00-05:00,384.11
2023-01-03 07:32:00-05:00,384.1
2023-01-03 07:33:00-05:00,384.12
2023-01-03 07:34:00-05:00,384.17
2023-01-03 07:35:00-05:00,384.16
2023-01-03 07:36:00-05:00,384.14
2023-01-03 07:37:00-05:00,384.08
2023-01-03 07:38:00-05:00,384.07
2023-01-03 07:39:00-05:00,384.24
2023-01-03 07:40:00-05:00,384.3
2023-01-03 07:41:00-05:00,384.33
2023-01-03 07:42:00-05:00,384.325
